BANDHAN Bank 729 - Cheque in hand,,,,,,,,,,,,,,
Cheers Retail Private limited,,,,,,,,,,,,,,
Date,Particulars,Instrument Number,"Instrument
 Date", Credit ,Bill Date,"Payment
 Type",Sent to (location),Sent On,Location Confirmation,Cheque In Hand / Issued on,Cheque debited on,Ageing,CO.,GST INPUT STATUS
25-11-21,MOMS FOOD MARKETING,000203,09-12-21," 3,135 ",15-04-21,Supplier,Ang,,,08-12-21,,237,CV,
10-12-21,VASUKI ENTERPRISES,000258,18-12-21," 3,852 ",27-11-21,Supplier,Ang,,,17-12-21,,20,CV,
24-11-21,SR IT Services,000190,31-01-22," 10,000 ",14-10-21,ADMIN,Admin,,,20-01-22,,98,CV,
11-01-22,ASHRIYA ENTERPRISES,000454,24-01-22," 1,796 ",31-12-21,Supplier,Ang,,,21-01-22,,21,CRPL,
01-03-22,VISHNOO ENTERPRISES,000740,18-03-22," 2,880 ",01-03-22,Admin,Admin,Admin,,17-03-22,,16,CRPL,
12-03-22,BINDU APPALAM DEPOT_676,000759,25-03-22," 2,166 ",22-02-22,Supplier,sva,14-03-22,,24-03-22,,30,CRPL,
23-02-22,CV-MULLAIYAR AGRO PRODUCTS,000734,02-04-22," 6,615 ",13-01-22,Supplier,Rukmini,23-02-22,,01-04-22,,78,CV,
31-03-22,MUTHUNILA ENTERPRISES_834,000837,05-04-22," 5,193 ",20-12-21,Supplier,c2,04-04-22,,04-04-22,,105,CRPL,
31-03-22,LYNKS LOGISTICS LIMITED_880,000843,06-04-22," 17,000 ",14-03-22,Supplier,C2,04-04-22,,05-04-22,,22,CRPL,
31-03-22,DURGA ENTERPRISES_81,000846,07-04-22," 9,382 ",04-02-22,Supplier,ang,04-04-22,,06-04-22,,61,CRPL,
31-03-22,SRI VENKATESHWARA TRADERS_961,000853,07-04-22," 3,600 ",23-12-21,Supplier,ang,04-04-22,,06-04-22,,104,CRPL,
31-03-22,LYNKS LOGISTICS LIMITED_880,000893,07-04-22," 17,261 ",14-03-22,Supplier,c2,04-04-22,,06-04-22,,23,CRPL,
31-03-22,FATHIMA AGENCIES P LTD_90,000855,08-04-22," 4,653 ",03-03-22,Supplier,Ang,04-04-22,,07-04-22,,35,CRPL,
31-03-22,LYNKS LOGISTICS LIMITED_880,000856,08-04-22," 12,372 ",21-01-22,Supplier,c2,04-04-22,,07-04-22,,76,CRPL,
31-03-22,CHENNAI AGENCIES_538,000863,11-04-22," 5,076 ",28-02-22,Supplier,ang,04-04-22,,08-04-22,,39,CRPL,
31-03-22,CRYSTAL ENTERPRISES_757,000868,12-04-22," 12,312 ",26-02-22,Supplier,c2,04-04-22,,11-04-22,,44,CRPL,
31-03-22,NEW EMJAAY ENTERPRISES_859,000869,12-04-22," 1,440 ",12-03-22,Supplier,ang,04-04-22,,11-04-22,,30,CRPL,
31-03-22,DHARSHAN FRUIT AND VEGETABLE_902,000874,13-04-22," 29,299 ",17-03-22,Supplier,c2,04-04-22,,12-04-22,,26,CRPL,
31-03-22,BENANI FOODS PVT LTD_41,000878,13-04-22," 5,117 ",15-02-22,Supplier,c2,04-04-22,,12-04-22,,56,CRPL,
31-03-22,THE BARN_380,000883,13-04-22," 3,010 ",27-01-22,Supplier,c2,04-04-22,,12-04-22,,75,CRPL,
31-03-22,INDIA SWEET COMPANY PRIVATE LIMITED_122,000884,16-04-22," 16,557 ",22-12-21,Supplier,c2,04-04-22,,13-04-22,,112,CRPL,
31-03-22,RHINO SENTINEL AND ALLIED SERVICES,000886,16-04-22," 30,000 ",31-12-21,Security,Security,Security,,13-04-22,,103,CRPL,
11-04-22,DHARSHAN FRUIT AND VEGETABLE_902,000900,18-04-22," 39,101 ",28-03-22,Supplier,C2,13-04-22,,16-04-22,,19,CRPL,
18-02-22,ZARAH DISTRIBUTORS LLP_745,000704,19-04-22," 28,876 ",08-01-22,Supplier,W/H,20-02-22,,18-04-22,,100,CRPL,
12-04-22,MC ENTERPRISES_173,000903,19-04-22," 7,891 ",17-03-22,Supplier,C2,13-04-22,,18-04-22,,32,CRPL,
25-03-22,CV-ADITHYA CO,000826,20-04-22," 27,918 ",25-03-22,RUkMINI,RUkMINI,RUkMINI,,19-04-22,,25,CV,
12-04-22,SRI BALA ASSOCIATE_665,000905,20-04-22," 10,992 ",25-03-22,Supplier,C2,15-04-22,,19-04-22,,25,CRPL,
09-04-22,CHENNAI TRADERS_681,000898,21-04-22," 13,508 ",18-12-21,Supplier,C2,15-04-22,,20-04-22,,123,CRPL,
15-04-22,MEHTA AGENCIES_949,000906,22-04-22," 10,355 ",19-03-22,Supplier,Sva,15-04-22,,21-04-22,,33,CRPL,
12-04-22,HOMETECH SERVICES PRIVATE LIMITED,000902,25-04-22," 1,67,472 ",01-03-22,Admin,Admin,Admin,,22-04-22,,52,CRPL,
15-04-22,MEHTA AGENCIES_949,000908,26-04-22," 9,611 ",04-04-22,Supplier,Ang,15-04-22,,25-04-22,,21,CRPL,
16-04-22,BROTHERS TRADING_966,000916,26-04-22," 11,146 ",29-01-22,Supplier,W/H,19-04-22,,25-04-22,,86,CRPL,
16-04-22,INDIA SWEET COMPANY PRIVATE LIMITED_122,000922,26-04-22," 20,216 ",25-02-22,Supplier,W/H,19-04-22,,25-04-22,,59,CRPL,
16-04-22,KAVYA ENTERPRISES_153,000925,26-04-22," 1,853 ",22-01-22,Supplier,W/H,19-04-22,,25-04-22,,93,CRPL,
16-04-22,SRI JAYALAKSHMI ENTERPRISE_801,000939,26-04-22," 12,633 ",23-02-22,Supplier,W/H,19-04-22,,25-04-22,,61,CRPL,
16-04-22,BENANI FOODS PVT LTD_41,000955,26-04-22," 6,631 ",28-02-22,Supplier,W/H,19-04-22,,25-04-22,,56,CRPL,
16-04-22,BULLOCHCART DELIVERIES_48,000957,26-04-22," 16,368 ",15-02-22,Supplier,W/H,19-04-22,,25-04-22,,69,CRPL,
16-04-22,CV-S.GURUSAMY,000959,26-04-22," 7,260 ",01-12-21,Supplier,Ofc,Ofc,,25-04-22,,145,CV,
16-04-22,S.GURUSAMY_111,000960,26-04-22," 10,066 ",15-12-21,Supplier,Ofc,Ofc,,25-04-22,,131,CRPL,
16-04-22,ANKA SUMMOR FOODS PVT LTD_805,000911,27-04-22," 6,498 ",25-01-22,Supplier,W/H,19-04-22,,26-04-22,,91,CRPL,
16-04-22,ANKA SUMMOR FOODS PVT LTD_805,000912,27-04-22," 8,704 ",31-01-22,Supplier,W/H,19-04-22,,26-04-22,,85,CRPL,
16-04-22,CRYSTAL ENTERPRISES_757,000918,27-04-22," 10,964 ",09-03-22,Supplier,Ang,19-04-22,,26-04-22,,48,CRPL,
16-04-22,KAAVERI GROVE INDIA_145,000923,27-04-22," 3,295 ",10-12-21,Supplier,W/H,19-04-22,,26-04-22,,137,CRPL,
16-04-22,KATARIYA AGENCIES_151,000924,27-04-22," 2,877 ",22-12-21,Supplier,W/H,19-04-22,,26-04-22,,125,CRPL,
16-04-22,SRI JAYALAKSHMI ENTERPRISE_801,000938,27-04-22," 19,127 ",23-02-22,Supplier,W/H,19-04-22,,26-04-22,,62,CRPL,
16-04-22,Swastic  Agencies_915,000947,27-04-22," 11,728 ",20-01-22,Supplier,Ang,19-04-22,,26-04-22,,96,CRPL,
16-04-22,BULLOCHCART DELIVERIES_48,000958,27-04-22," 12,604 ",25-02-22,Supplier,W/H,19-04-22,,26-04-22,,60,CRPL,
15-04-22,MEHTA AGENCIES_949,000909,28-04-22," 11,941 ",04-04-22,Supplier,Sva,15-04-22,,27-04-22,,23,CRPL,
16-04-22,3N HEALTH FOODS PRIVATE LIMITED_898,000910,28-04-22," 6,127 ",28-02-22,Supplier,Ang,19-04-22,,27-04-22,,58,CRPL,
07-02-22,SAKTHI TRADERS_270,000663,28-04-22," 13,978 ",25-01-22,Supplier,W/H,20-02-22,,27-04-22,,92,CRPL,
31-03-22,RHINO SENTINEL AND ALLIED SERVICES,000888,28-04-22," 11,880 ",31-12-21,Security,Security,Security,,27-04-22,,117,CRPL,
16-04-22,CV-GURUSAMY.S (MILK),000962,28-04-22," 2,610 ",31-10-21,Admin,Admin,Admin,,27-04-22,,178,CV,
16-04-22,Mars Pest Management Systems India Private Limited,000967,28-04-22," 5,310 ",20-01-22,Admin,Admin,Admin,,27-04-22,,97,CRPL,
28-02-22,Natural Office Mart,000739,28-04-22," 6,948 ",31-12-21,Admin,Admin,Admin,,27-04-22,,,CRPL,
19-04-22,"S.K.S.AGENCIES
",000970,28-04-22," 8,339 ",24-03-22,Supplier,,,,27-04-22,,,CRPL,
16-04-22,MEENA AGENCIES_174,000929,19-04-22," 9,659 ",31-12-21,Supplier,,,,28-04-22,,118,CRPL,
16-04-22,ROYAL   ENTERPRISES_980,000933,19-04-22," 3,586 ",20-01-22,Supplier,,,,28-04-22,,98,CRPL,
16-04-22,SKY Office Mart,000964,29-04-22," 7,491 ",16-12-21,Admin,Admin,Admin,,28-04-22,,133,CRPL,
16-04-22,Mars Pest Management Systems India Private Limited,000966,29-04-22," 5,664 ",20-01-22,Admin,Admin,Admin,,28-04-22,,98,CRPL,
16-04-22,Mars Pest Management Systems India Private Limited,000968,29-04-22," 6,726 ",08-02-22,Admin,Admin,Admin,,28-04-22,,79,CRPL,
31-01-22,CV-D.A.Engineering Works,000633,29-04-22," 5,310 ",26-08-21,Admin,Admin,Admin,,28-04-22,,245,CV,
19-04-22,"S.K.S.AGENCIES
",000971,29-04-22," 4,930 ",31-03-22,Supplier,,,,28-04-22,,,CRPL,
16-04-22,R SQUARE FOOD FACTORY_771,000952,30-04-22," 13,213 ",17-03-22,Supplier,W/H,19-04-22,,29-04-22,,43,CRPL,
16-04-22,R.V.ENTERPRISES_797,000953,30-04-22," 12,185 ",22-03-22,Supplier,Ang,19-04-22,,29-04-22,,38,CRPL,
16-04-22,BENANI FOODS PVT LTD_41,000956,30-04-22," 9,418 ",15-03-22,Supplier,W/H,19-04-22,,29-04-22,,45,CRPL,
31-03-22,RHINO SENTINEL AND ALLIED SERVICES,000887,30-04-22," 28,410 ",31-12-21,Security,Security,Security,,29-04-22,,119,CRPL,
16-04-22,CV-GURUSAMY.S (MILK),000963,30-04-22," 9,504 ",31-10-21,Admin,Admin,Admin,,29-04-22,,180,CV,
16-04-22,Shiva Screen & Offset,000965,30-04-22," 4,385 ",12-01-22,Admin,Admin,Admin,,29-04-22,,107,CRPL,
11-02-22,CV - Matrix Power Tech System,000676,30-04-22," 9,500 ",13-04-21,Admin,Admin,Admin,,29-04-22,,381,CV,
16-04-22,BACKIYA STORES_39,000913,20-04-22," 9,061 ",12-01-22,Supplier,,,,30-04-22,,108,CRPL,
16-04-22,BALA TRADERS_923,000915,20-04-22," 2,352 ",25-01-22,Supplier,,,,30-04-22,,95,CRPL,
16-04-22,G.G.AGENCIES_576,000920,20-04-22," 13,898 ",03-03-22,Supplier,,,,30-04-22,,58,CRPL,
16-04-22,MAALIK ENTERPRISES_168,000928,20-04-22," 6,973 ",07-01-22,Supplier,,,,30-04-22,,113,CRPL,
16-04-22,MMB ENTERPRISES_925,000930,20-04-22," 9,819 ",01-03-22,Supplier,,,,30-04-22,,60,CRPL,
16-04-22,MPR FOOD PRODUCTS_969,000931,20-04-22," 8,768 ",31-12-21,Supplier,,,,30-04-22,,120,CRPL,
16-04-22,SRI JAYALAKSHMI ENTERPRISE_801,000937,20-04-22," 6,561 ",22-12-21,Supplier,,,,30-04-22,,129,CRPL,
16-04-22,SRI SAI AGENCY_1004,000943,20-04-22," 7,183 ",12-03-22,Supplier,,,,30-04-22,,49,CRPL,
16-04-22,WHITEFIELD SR ENTERPRISES_987,000949,20-04-22," 9,514 ",21-01-22,Supplier,,,,30-04-22,,99,CRPL,
16-04-22,ZARAH DISTRIBUTORS LLP_745,000950,20-04-22," 11,118 ",12-01-22,Supplier,,,,30-04-22,,108,CRPL,
16-04-22,ZARAH DISTRIBUTORS LLP_745,000951,20-04-22," 10,127 ",12-01-22,Supplier,,,,30-04-22,,108,CRPL,
01-12-21,SRI HARIHARAN ENTERPRISES,000081,20-04-22," 2,205 ",12-10-21,Supplier,W/H,20-02-22,,30-04-22,,200,CRPL,
12-04-22,SRI JAYALAKSHMI ENTERPRISE_801,000904,21-04-22," 22,418 ",23-02-22,Supplier,,,,02-05-22,,68,CRPL,
16-04-22,BAKKIYA TRADING COMPANY_905,000914,21-04-22," 9,490 ",27-01-22,Supplier,,,,02-05-22,,95,CRPL,
16-04-22,CHENNAI AGENCIES_538,000917,21-04-22," 2,952 ",11-03-22,Supplier,,,,02-05-22,,52,CRPL,
16-04-22,MAHALAKSHMI DISTRIBUTORS_981,000927,21-04-22," 16,395 ",22-01-22,Supplier,,,,02-05-22,,100,CRPL,
16-04-22,SRI MUTHAALAMMAN TRADER_704,000941,21-04-22," 10,639 ",24-02-22,Supplier,,,,02-05-22,,67,CRPL,
16-04-22,SRI R K AGENCIES,000942,21-04-22," 2,360 ",12-10-21,Supplier,,,,02-05-22,,202,CRPL,
16-04-22,NEW EMJAAY ENTERPRISES_859,000954,21-04-22," 1,920 ",25-02-22,Supplier,,,,02-05-22,,66,CRPL,
16-04-22,INNOVATIVE FOODS LTD CHENNAI_532,000969,21-04-22," 14,947 ",08-03-22,Supplier,,,,02-05-22,,55,CRPL,
19-01-22,INDRA AGENCIES_123,000542,21-04-22," 18,788 ",17-12-21,Supplier,W/H,20-02-22,,02-05-22,,136,CRPL,
16-04-22,DURGA ENTERPRISES_81,000919,22-04-22," 6,388 ",27-02-22,Supplier,,,,03-05-22,,65,CRPL,
16-04-22,HINKAR STEELS_120,000921,22-04-22," 15,732 ",13-01-22,Supplier,,,,03-05-22,,110,CRPL,
16-04-22,LOTUS MARKETING AGENCY_976,000926,22-04-22," 2,169 ",13-01-22,Supplier,,,,03-05-22,,110,CRPL,
