Date,Pur,CC,Total,Pur_Prop,CC_Prop
01/12/21,138425,72931,211356,65.49,34.51
02/12/21,54007,58624,112631,47.95,52.05
03/12/21,115121,87784,202905,56.74,43.26
04/12/21,60026,121052,181078,33.15,66.85
05/12/21,13302,0,13302,100,0
06/12/21,61958,99088,161046,38.47,61.53
07/12/21,151580,117063,268643,56.42,43.58
08/12/21,54136,118393,172529,31.38,68.62
09/12/21,44487,111892,156379,28.45,71.55
10/12/21,101783,84612,186395,54.61,45.39
11/12/21,108953,0,108953,100,0
12/12/21,17893,0,17893,100,0
13/12/21,16176,81803,97979,16.51,83.49
14/12/21,45967,122090,168057,27.35,72.65
15/12/21,201251,98651,299902,67.11,32.89
16/12/21,45600,85249,130849,34.85,65.15
17/12/21,133836,69044,202880,65.97,34.03
18/12/21,80449,89914,170363,47.22,52.78
19/12/21,10526,0,10526,100,0
20/12/21,18148,168675,186823,9.71,90.29
